label,description,category,subject,placeLabel,placeLocality,timeBegin,timeEnd,url
Event name: Séjour : le Brame du Cerf à la Réserve des Monts d'Azur," Event description: Séjour VIP  Tout le cérémonial du brame. Une plongée dans lintimité du Cerf dEurope.  Des prises de vue inimaginables ! Déroulement du séjour brame du cerf :


JOUR 1:
Arrivée vers 15 h: Installation dans la chambre.

Vers 16 h : Safari guidé en calèche au cur du Brame accompagné par un guide spécialisé. Observations et photos des Grands Cerfs de la Réserve.

A partir de 19h : Apéritif et dîner.
Nuitée en chambre bioclimatique

 

JOUR 2 :

9h00: Départ pour lAffut. Observations et photos de la faune de la Réserve. Suivi dun safari à pied accompagné par un guide. Approche à pied des grands cerfs.

 Possibilité de déjeuner vers 12 h. PENSEZ à réserver à votre arrivée.

 



Offre valable du 15 septembre au 30 octobre, les Mercredi, jeudi, vendredi et Samedi.

 
Le nombre de places pour ce séjour brame du cerf est LIMITE à 6 à 8 personnes maximum et le site, à certaines heures, PRIVATISE.",Event category: Nature et détente,Event subject: Excursion,Event place: Séjour : le Brame du Cerf à la Réserve des Monts d'Azur,Event place location: Andon,Event time begin: 2017-09-15T00:00:00Z,Event time end: 2017-10-30T00:00:00Z,http://data.linkedevents.org/event/00140617-9e3a-35d8-a797-92f337356f27
Event name: MEDIATHEQUE D'AURON, Event description: ,"Event category: Activités sportives, culturelles et formules itinérantes",Event subject: ,Event place: MEDIATHEQUE D'AURON,Event place location: SAINT-ETIENNE-DE-TINEE,Event time begin: 2020-01-01T00:00:00Z,Event time end: 2020-12-31T00:00:00Z,http://data.linkedevents.org/event/002fe167-78dd-339f-89dc-dc3155c6717a
Event name: ALL FRENCH RIVIERA FOR ONE DAY SIGHTSEEING TOURS FROM CANNES," Event description: Your guide will meet you at the agreed place and take you for a ride around the most famous places on the Riviera. It will all take 9 hours. As this is a private tour, we’ll be happy to adopt it to your individual expectations

From Cannes you to get to Monaco. Second smallest country in the world that attracts the richest people on the planet as it really has a lot to offer. But it’s not only the smell of money that would make you stoned – fairytale looking-like old town with incredible Prince’s Palace on the sharp rock, guards of the Prince wearing uniforms designed by Gucci and glamourous Monte Carlo Casino – these are just few reasons to spend some time among as many Bugattis, Bentleys or McLarens as you will be able to count. 
Your guide will meet you at the agreed place and take you for a ride around the most famous places on the Riviera. It will all take 9 hours. As this is a private tour, we’ll be happy to adopt it to your individual expectations

From Cannes you to get to Monaco. Second smallest country in the world that attracts the richest people on the planet as it really has a lot to offer. But it’s not only the smell of money that would make you stoned – fairytale looking-like old town with incredible Prince’s Palace on the sharp rock, guards of the Prince wearing uniforms designed by Gucci and glamourous Monte Carlo Casino – these are just few reasons to spend some time among as many Bugattis, Bentleys or McLarens as you will be able to count. 

Unforgettable charm is another side of Monaco – the Cathedral of St Nicholas (or Santa Claus if you prefer), beautiful gardens or incredible Oceanographic Museum would impress you to the core. That’s for granted.
Next stop takes place in Eze Village – medieval old town perched on a rocky hill part of which would still remember the times of Roman Empire. Located as eagle’s nest – almost 430 m over sea level will get you back in time to XIII century and on. Narrow, picturesque streets and facades hidden in Mediterranean bushes and middle-ages architecture make Eze Village one of the most interesting spots in whole France and if you’d add splendid views from the exotic gardens arranged on a very top of it you will always remember the day you visited it.
When you’re still in Eze Village you can’t miss the opportunity of visiting the real French cosmetic manufacture – famous Fragonard. How do they make parfumes, who is the ‘nose’ and much more can  be answered during free tour in English (or other language) and possibility of buying the scents at the factory prices makes the visit even more exciting.
Majestic hill of Mont Boron. That’s where you’ll see XV-century stronghold that used to protect the bay of Villefranche. Stoning view over the bay, the village and surrounding hills will leave you breathless for a little while.
Stop in the old town of Nice, walk around the city and stop at the fish restaurant for lunch before continuing our trip
We’ll continue to the village of artists, hidden in the hills – Saint Paul de Vence. This medieval town standing within XIV century ramparts has been called the Royal city in past. Over 100 years ago it turned into real mekka of artists – young painters, sculptors and modern designers. 
The trend started when Picasso, Chagall or Matisse as well as many others were coming here for inspiration – you’ll easily find out ‘why?’
Next stop is not to be missed: Antibes – the first city established in the Cote d’Azur, back then by the Greeks played an important role as located between Marseille and Italy. Called Antipolis in the past still looks impressive with its Fort Carre (squared fort) – massive fortifications overlooking the harbor and beautiful marina. Castle in the old town is today a home of Picasso Museum – and large yard in front of it turns into provensal market with thousends of scents and colours every morning. No wonder why so many people seek escape in that town – 3rd largest in the French Riviera today.
Then your guide would take you back to Cannes


9 heures

780,00
707.90
930.51",Event category: Circuits privés,Event subject: ,Event place: Cannes,Event place location: Cannes,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/003983f5-6992-3447-813d-303d256a2cab
"Event name: Conférence ""Demain l'Humain"" - Demain, le courage de « transformer le monde » ?"," Event description: Lieu: Palais des Congrès - 60 Chemin des SablesDate: 2 Mars 2019 Conférence ""Demain l'Humain""
Demain, le courage de « transformer le monde » ? 
Samedi 23 février à 15h, dernière conférence dans le cadre des conférences ""Demain l'Humain ?"" : ""Demain, le courage de « transformer le monde » ? "", deCynthia Fleury
Modération : Claire Migraine, commissaire d’exposition, chargée de production et fondatrice de thankyouforcoming
Cynthia Fleury, philosophe et psychanalyste, Professeure au Conservatoire National des Arts et Métiers, titulaire de la Chaire ""Humanités et Santé"", et Professeure associée à l’École des Mines (PSL/Mines-Paristech). Sa recherche porte sur les outils de la régulation démocratique. Son ouvrage Les pathologies de la démocratie (Fayard, 2005 ; Livre de poche 2009) a connu un important succès et a contribué à la réflexion sur la place de l’individu en démocratie. Sa réflexion a été prolongée avec deux essais majeurs : La fin du courage (Fayard, 2010 ; Livre de poche, 2011) et Les irremplaçables (Gallimard, 2015).
Cynthia Fleury a longtemps enseigné à l’École polytechnique et à Sciences Po (Paris). Elle a été présidente de l’ONG Europanova, organisatrice des États Généraux de l’Europe (plus grand rassemblement de la société civile européenne). Elle en assure aujourd’hui la fonction de vice-présidente.
Cynthia Fleury est le plus jeune membre du Comité consultatif national d’éthique (CCNE). Elle est également membre fondatrice du Réseau européen des femmes philosophes de l’Unesco. En tant que psychanalyste, elle est marraine d’ICCARRE (protocole d’intermittence du traitement du Sida) et membre de la cellule d’urgence médico-psychologique du SAMU (CUMP-Necker).
En 2016, elle fonde la Chaire de Philosophie à l’Hôpital (Hôtel-Dieu Paris).
L’éthique nous permet d’être agents de nos vies, non pas au sens de toute puissance, mais d’implication. Et c’est précisément en s’impliquant dans le monde que nous protégeons ses sujets et notre démocratie. Trop de gens sont obnubilés par la révision du powerpoint pour le lundi, par la rivalité mimétique d’une société du ‘on’… Ils se disent : j’aimerais aller sous un arbre mais la rentabilité d’aller sous un arbre est faible. Penser l’homme hors de la nature, isolé de l’environnement, du régime du vivant, c’est en fait une faute intellectuelle d’abord mais c’est surtout une faute morale. L’éthique nous donne aussi la force de préserver la démocratie dans laquelle nous sommes : souci des autres, de la nature, de soi, c’est un grand continuum.
Ou comment le courage d’exister en tant qu’individu – en tant que sujet libre face à la déshumanisation qui semble en cours dans l’État de droit – est nécessaire à la régulation de l’espace politique et permettrait de ""transformer le monde"".
Au croisement de la philosophie politique et de la psychanalyse, cherchant à retisser un lien entre l’individu et le collectif, Cynthia Fleury proposera une triple réflexion autour d’une définition de l’humain/ post-humain, de la transformation des démocraties et de la corrélation entre justice environnementale et justice sociale.
Entrée libre dans la limite des places disponibles.Infos : Palais des Congrès, 60 chemin des Sables04 22 10 60 01 / 10",Event category: ,Event subject: ,Event place: Palais des Congrès,Event place location: Antibes,Event time begin: 2019-03-02T00:00:00Z,Event time end: 2019-03-02T23:59:00Z,http://data.linkedevents.org/event/003bc09f-0c3f-3af1-ae4f-cf5cd4ae60dc
"Event name: Visite privée : excursion d'une demi-journée à Èze, Monaco et Monte-Carlo au départ de Nice"," Event description: Découvrez la richesse des splendeurs de la côte d'Azur lors de cette excursion privée d'une demi-journée au départ de Nice. Explorez le village médiéval d'Èze avec un guide privé et admirez la vue sur la côte méditerranéenne. Découvrez les délicats parfums de Fragonard à l'usine de parfums, puis profitez d'un tour effrayant sur la piste du célèbre circuit de Formule Un. Admirez les principales attractions locales dont la cathédrale Saint-Nicolas, et imprégnez-vous du soleil le long de la côte glamour de Monte Carlo avant votre retour à Nice.Découvrez la richesse des splendeurs de la côte d'Azur lors de cette excursion privée d'une demi-journée au départ de Nice. Explorez le village médiéval d'Èze avec un guide privé et admirez la vue sur la côte méditerranéenne. Découvrez les délicats parfums de Fragonard à l'usine de parfums, puis profitez d'un tour effrayant sur la piste du célèbre circuit de Formule Un. Admirez les principales attractions locales dont la cathédrale Saint-Nicolas, et imprégnez-vous du soleil le long de la côte glamour de Monte Carlo avant votre retour à Nice.Commencez votre excursion d'une demi-journée par un ramassage à 9:00 à votre hôtel de Nice ou un autre emplacement en centre-ville, puis montez dans votre véhicule pour commencer votre voyage le long de la route côtière jusqu'à Èze - que beaucoup considèrent comme l’un des plus jolis villages côtiers médiévaux de France.  À votre arrivée, explorez les rues antiques avec votre guide privé et découvrez cafés pittoresques, restaurants et boutiques le long des passages pavés. Ici, vous pourrez admirer de superbes vues sur les ruines du château sur la colline, l'église et les jardins.  Ensuite, visitez l'usine Fragonard avec votre guide privé et découvrez comment les délicats parfums de Fragonard sont produits et mis en bouteilles. Pendant votre visite, découvrez la diversité des parfums pour lesquels Fragonard est célèbre et apprenez la riche histoire de l’entreprise. Poursuivez jusqu'à Monaco et admirez les principales attractions telles que le musée de la mer, la cathédrale Saint-Nicolas et le château où habitent où le Prince de Monaco et sa famille. Ensuite, faites un tour fabuleux sur la piste du célèbre circuit de Formule Un. Imprégnez-vous de l'atmosphère glamour de Monte Carlo - où des stars bronzées se détendent sur des yachts de luxe - puis détendez-vous dans le confort pendant le retour à votre point de départ à Nice.

4 heures

400,00
363.02
477.19",Event category: Circuits privés,Event subject: ,Event place: Nice,Event place location: Nice,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/00553f9f-cbc6-3fd8-8bed-8407a5594754
Event name: Finale de la Coupe de France de Basket Fauteuil handisport," Event description: Lieu: AzurArena Antibes - Rue Henri LaugierDate: 19 Septembre 2020 Finale de la Coupe de France de Basket Fauteuil handisport
Samedi 19 septembre
L'Azurarena accueille la Finale de la Coupe de France de Basket Fauteuil handisport, Trophée Maurice Schoenacker.Le Hyères Handi Basket, double tenant du titre, tentera de réalisé le triplé dans cette compétition. Le club remet son titre en jeu face aux Aigles du Velay, qui disputent leur première finale. 
Ouverture des portes de l'Azurarena à 18h30, coup d'envoi à 20h.Entrée gratuite.",Event category: ,Event subject: ,Event place: AzurArena Antibes,Event place location: Antibes,Event time begin: 2020-09-19T00:00:00Z,Event time end: 2020-09-19T23:59:00Z,http://data.linkedevents.org/event/005a864a-cd0c-3708-82d7-5234054aeca1
Event name: Randonnée accompagnée : Le cri du Coeur," Event description: « L'amour est profondément animal : c'est sa beauté. » (Rémy de Gourmont) Le cerf élaphe a choisi la période qui va de mi-septembre à mi- octobre pour donner son aubade. Pendant le brame, il est vivement conseillé de redoubler de vigilance. Si les animaux ont autre chose à faire que de s'occuper des randonneurs, le risque d'être pris pour un rival potentiel par un cerf n'est pas à négliger. Quand on voit la taille exceptionnelle des bois et la masse de l'animal, l'exercice est vivement déconseillé.

Nous prendrons donc toutes les précautions nécessaires pour ne pas interférer dans les parades prénuptiales de ces animaux magnifiques.

Nous terminerons notre visite à la nuit tombée et rejoindrons nos véhicules à la lueur des lampes torches. Un moment rare que je vous propose de partager...


À prévoir : Chaussures de randonnée, vêtements adaptés, frontale, chapeau, grignoti, boisson chaude...",Event category: Nature et détente,Event subject: Initiation / découverte,Event place: Randonnée accompagnée : Le cri du Coeur,Event place location: Cipières,Event time begin: 2017-09-23T17:30:00Z,Event time end: 2017-09-23T21:30:00Z,http://data.linkedevents.org/event/00608afd-3675-3142-a009-4523bf5a03da
Event name: Visite de mon élevage, Event description: Aujourd'hui mon élevage de porc noir et fermier BIO est composé de six truies et deux verrats et je suis en mesure de vous présenter un produit d'exception. Je vous propose une visite de mon cheptel et une rencontre haute en couleur avec mes cochons ! Un moment à partager avec petits et grands.,Event category: Activités,Event subject: ,Event place: Les Cochons de la Côte d'Azur,Event place location: saint vallier de thiey,Event time begin: 2018-07-24T17:23:00Z,Event time end: 2020-07-24T17:23:00Z,http://data.linkedevents.org/event/006c6d91-2640-3488-8ca3-b696ce15abcc
Event name: Les rendez-vous du hip-hop," Event description: Lieu: Ateliers Carrés, ancienne école de la Croix Rouge - ancienne école de la Croix Rouge, 170 chemin des TerriersDate: 30 Mai 2019 Label Note vous fait découvrir les disciplines hip-hop ! 
L'association ""Label Note"", organisateur des ""Nuits Carrées"", accueille le Jeudi 30 mai (jour férié), une étape du dispositif national RENDEZ VOUS HIP HOP. Label Note propose, dans ses locaux (Ateliers Carrés, ancienne école de la Croix Rouge, 170 chemin des Terriers, 06600 Antibes), une journée entière, gratuite et ouverte à tous, dédiée à la sensibilisation et à l'approche des disciplines et pratiques artistiques Hip Hop.

Cet événement national impulsé par le ministère de la Culture et ministère de l’Education Nationale et de la Jeunesse se déroule dans toute la France et fera donc étape pour la première fois dans les Alpes Maritimes, à Antibes. Au programme : 

10h / 12h30 : Atelier Ecriture avec le Collectif HIP-HOP N’MIC (Association Orygamusic, résidente des Ateliers Carrés)
14h / 16h30 : Ateliers Djing/Scratch avec DJ DIAMS (Artiste Résident des Ateliers Carrés) & Akademix par DJ DJEL (Fonky Family)
18h30 / 21h30 : Showcase du RDV HIP HOP dans les jardins des Ateliers Carrés avec : Démo Live DJ DIAMS / DJ DJEL  ; Concert Live du Collectif HIP-HOP N’ MIC feat. FARES Clôture MIC CLUB des Ateliers Carrés (open mic)

La participation aux différents ateliers se fait sur inscription gratuite jusqu’au 29 mai à 18h00. Il suffit d’envoyer un mail à contact [AT] nuitscarrees [DOT] com
Toutes les informations sur leur page Facebook ",Event category: ,Event subject: ,"Event place: Ateliers Carrés, ancienne école de la Croix Rouge",Event place location: Antibes,Event time begin: 2019-05-30T00:00:00Z,Event time end: 2019-05-30T23:59:00Z,http://data.linkedevents.org/event/007e4368-5cdc-3b83-8121-d8a8c0018267
Event name: Exposition peintures Annette Von Borstel," Event description: Lieu:  Galerie des Bains-Douches - Bd D'aguillonDate: 2 Novembre 2017  - 30 Novembre 2017 Exposition peintures Annette Von Borstel
Du 2 au 30 novembre
Dans le cadre de cette exposition l’artiste a choisi de présenter ces œuvres dont le thème est l’eau. Dans une danse aquatique, les corps apparaissent et disparaissent au grés des couleurs.
Galerie les Bains Douches, Boulevard d'Aguillon.Entrée libre.",Event category: ,Event subject: ,Event place: Galerie des Bains-Douches,Event place location: Antibes,Event time begin: 2017-11-02T00:00:00Z,Event time end: 2017-11-30T23:59:00Z,http://data.linkedevents.org/event/00b4bcb7-67dd-30c0-8792-fdd1c549adcc
